Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology,label
12.4433002,1807,42.2661018,834.8010254,0,0,0,0.386618,2,0
157.5429993,792,18.6826,887.9680176,0,0,0,0.287341,2,0
300.256012,760,6.6037598,915.0390015,0,0,0,0.41983,2,0
143.7460022,2205,34.8973007,1045.729981,0,0,0,0.654869,2,0
120.651001,2024,14.6568003,1054.199951,3,0,0,0.357266,2,1
50.7928009,1759,22.2285004,717.2470093,0,0,1,0.131053,4,1
207.5529938,1906,12.1988001,875.9439697,0,0,0,0.592828,2,0
66.8013992,1708,20.8463001,1159.780029,4,0,0,0.269478,4,1
142.4309998,2188,7.7827802,797.4050293,0,0,0,0.208312,4,0
126.8700027,1448,9.4623203,859.742981,4,0,0,0.396462,2,0
61.7826004,1805,21.1935997,1273.199951,4,0,0,0.266164,4,1
267.0889893,1755,26.2110996,1058.420044,0,0,0,0.59298,4,0
81.2537994,2779,6.2550998,1281.26001,0,0,0,0.566187,2,0
190.2220001,2512,27.3178005,1228.719971,1,0,0,0.696315,2,0
16.1035995,1495,46.0269012,1069.410034,0,0,0,0.447474,2,1
40.1559982,2353,19.2341995,1186.420044,0,0,0,0.556839,4,0
14.0361996,741,22.4069004,880.7069702,1,1,4,0.5214,2,1
199.654007,842,7.0620399,1234.6,0,0,4,0.260576,4,1
19.0935001,1998,24.6343002,1138.780029,0,0,0,0.557986,2,0
203.1990051,1846,32.4011993,807.7529907,0,0,0,0.346434,4,1
62.2415009,1582,10.1443005,788.2180176,0,3,3,0.588343,3,1
56.4819984,2379,21.0480003,868.6519775,3,0,0,0.600142,4,0
23.0254993,1404,19.9097996,968.5709839,2,0,0,0.616954,4,0
284.2640076,709,14.2330999,945.3900146,3,3,1,0.220708,3,0
253.1419983,1352,16.0319996,880.7689819,3,0,4,0.348093,2,0
74.0546036,2233,16.8745003,1019.98999,0,0,0,0.637735,4,0
205.201004,2083,8.89851,852.5440063,0,0,0,0.23657,2,1
338.4590149,2067,18.8008995,778,0,0,0,0.432198,3,0
49.6105995,1754,20.1291008,1241.77002,0,0,3,0.134497,2,1
218.4179993,1648,8.7672501,731.1480103,0,2,1,0.126954,1,1
334.7990112,2303,17.3873005,825.1090088,2,1,0,0.219776,2,1
305.6900024,1696,20.0137997,803.4539795,0,0,0,0.46432,2,1
315,761,16.7266006,952.7180176,0,1,0,0.314298,4,1
271.6520081,1863,40.9262009,762.3109741,0,0,0,0.414302,4,1
262.2349854,1869,10.4828997,884.7260132,4,0,0,0.513686,2,0
75.2032013,1550,42.4157982,1239.319946,4,0,0,0.537058,2,1
339.3049927,2101,11.3338003,843.9439697,0,0,0,0.368651,3,0
240.2550049,1962,25.1875,764.6409912,4,0,0,0.340444,4,1
75.9637985,1490,1.96786,876.0319824,4,0,4,0.274012,2,1
77.6192017,1762,19.2798996,1006.429993,0,0,0,0.614795,2,0
136.9750061,1750,18.8792,1214.609985,0,0,0,0.487927,2,0
172.1849976,2022,23.2185993,829.0709839,0,0,0,0.24859,4,1
120.2559967,746,24.8479996,897.0770264,0,0,0,0.354692,2,0
109.322998,2191,18.7772999,871.7260132,0,0,0,0.288223,2,1
172.875,1408,7.6530499,783.6560059,0,3,4,0.485149,3,1
340.2009888,1735,12.4850998,762.559021,0,1,0,0.208807,2,1
116.5650024,1977,36.6991997,825.1119995,0,0,0,0.648556,4,1
279.743988,739,22.7110996,877.0029907,0,0,0,0.260938,2,0
36.7240982,1771,33.2248993,784.2069702,1,0,1,0.619509,4,0
252.6459961,1741,22.7374001,858.5269775,0,0,0,0.219361,2,1
312.7399902,1871,24.1410999,818.3969727,0,0,0,0.513607,2,0
315,2411,1.6876,899.1149902,0,0,0,0.553307,3,0
72.1810989,1357,13.7712002,1183.300049,2,0,0,0.571308,4,0
161.0650024,2252,31.1105995,1161.420044,0,0,0,0.668232,4,0
294.5029907,1677,33.9453011,814.3259888,0,0,0,0.439247,2,1
121.8270035,1730,15.8775997,825.7390137,4,0,0,0.235771,2,1
216.1580048,1275,15.0215998,717.4210205,0,0,3,0.471622,2,1
205.973999,2271,19.8757992,816.4580078,0,0,0,0.522246,4,0
225,1707,3.0357201,740.21698,4,0,0,0.0321817,1,0
345.7349854,1412,14.2330999,758.125,4,1,3,0.435277,3,1
220.0299988,1833,15.2206001,970.3010254,0,0,0,0.359628,2,1
